"start","end","text"
"540","1500"," (Transcribed by TurboScribe.ai. Go Unlimited to remove this message.) Будет, если вы войдете на"
"1500","2980"," поле битвы и отправитесь за"
"2980","4780"," ключом, который не смогли за"
"4780","6540"," столько лет добыть Морлан, а"
"6540","7840"," я останусь позади и ждать"
"7840","8700"," вашего трофея."
"9280","10880"," Не дав им мгновения, Нараздуй"
"10880","12000"," меня громко припечатал."
"12440","15620"," Нет, это будет несправедливо, поэтому"
"15620","17700"," вместе с Искателями Сломанного Клинка"
"17700","19440"," за ключом Древних пойду и"
"19440","19660"," я."
"20260","21700"," Я добуду его вместе с"
"21700","21940"," вами. "
"22860","24780"," Даже большая часть Орденцев этого"
"24780","25440"," не ожидала."
"25980","27160"," Что уж говорить про всех"
"27160","27700"," остальных."
"27700","29840"," Кто знал, что я пойду?"
"30480","32220"," Седой, с которым мы изначально"
"32220","34120"," это обсуждали, еще даже с"
"34120","35220"," тех времен, когда я был"
"35220","37580"," просто мастером боевых указов, которого"
"37580","39660"," он уговаривал присоединиться к Ордену,"
"40080","42620"," часть старших, Комтуров, которые могли"
"42620","44040"," понять, к чему все идет,"
"44400","45280"," и все, пожалуй. "
"46100","48020"," Поэтому гвалт поднялся еще тот."
"48660","50400"," Что только ни звучало, от"
"50400","52820"," криков одобрения и изумления, до"
"52820","54580"," возгласов о моей глупости и"
"54580","56860"," шепота о тупом придурке, который"
"56860","57680"," норовит сдохнуть."
"58320","60180"," Повысив голос, я заставил их"
"60180","61840"," вновь обратить внимание на себя. "
"62460","63260"," Глупости?"
"63700","64379"," Возможно."
"64920","65640"," Излишний риск?"
"66160","67000"," Сложно спорить."
"67500","68300"," Самонадеянность?"
"68900","70240"," А вот тут не соглашусь. "
"70860","72860"," Да, я хороший лекарь, но"
"72860","74740"," открою вам свою большую тайну."
"75260","76940"," Умение лечить вовсе не самый"
"76940","77880"," сильный мой талант."
"78580","81420"," Даже Орденцы охнули, явно заподозрив"
"81420","82380"," меня в сумасшествии. "
"83120","84460"," Я же с широкой улыбкой"
"84460","85300"," громко сообщил."
"85300","88060"," «Мой более сильный талант —"
"88060","89220"," это умение убивать»."
"90100","92000"," Гул голосов на вдох смолк,"
"92420","94020"," а затем возобновился с удвоенной"
"94020","94520"," мощью. "
"95260","97060"," А я с наслаждением продолжил"
"97060","97480"," говорить."
"97940","100320"," Помнится, на одном турнире, доказывая"
"100320","102360"," это, я сначала бился голыми"
"102360","105060"," руками, затем только сталью, затем"
"105060","107700"," сталью и техниками, выбивая противников"
"107700","108540"," один за другим."
"109080","110540"," Но сегодня у нас нет"
"110540","113060"," столько времени, поэтому предлагаю сразу"
"113060","114980"," перейти к стали, техникам и"
"114980","116040"," нескольким противникам. "
"116900","118440"," В моей руке появилось копье,"
"119020","120840"," одно из тех, купленных давно,"
"121380","122800"," с начертанием сосуда духа."
"123340","124640"," Я, конечно, рассказал о себе"
"124640","126760"," многое сегодня, но все и"
"126760","128660"," до конца большей части собравшихся"
"128660","129960"," здесь людей знать не нужно."
"130760","132740"," Застыл, прислушиваясь к голосам и"
"132740","133320"," мыслям речи. "
"133700","134900"," «Ты когда-нибудь слышал про"
"134900","136400"," турнир, где бились голыми руками "
"136400","137400","?» «Ни разу»."
"137900","139740"," «Что он тогда несет?»"
"139740","141300"," «Я могу говорить лишь про"
"141300","143840"," турниры пятого, нашего пояса, и"
"143840","145900"," про небольшую часть турниров шестого»."
"146720","148180"," «Думаешь, он откуда-то из"
"148180","148640"," шестого?"
"149200","150280"," Я думаю, он вообще из"
"150280","150980"," четвертого». "
"150980","153360"," «Чего?» Я повел копьем,"
"153420","155780"," описывая его наконечником полукруг и"
"155780","156880"," привыкая к балансу."
"157400","158640"," «Трое искателей."
"159100","160480"," Ваш глава просит у вас"
"160480","161500"," тренировочного боя». "
"162160","164400"," Пять вдохов и трое назначенных"
"164400","165860"," предводителей шагнули ко мне в"
"165860","166600"," круг пустоты."
"166600","168420"," Я тут же приказал."
"168820","169920"," «Стареешь на страже. "
"170340","172480"," Прошу позаботиться о безопасности зрителей»."
"173120","174760"," Честно говоря, я рассчитывал, что"
"174760","176580"," он отдаст приказ покопаться в"
"176580","178660"," запасах и расставит вокруг одну"
"178660","179900"," из орденских формаций."
"180220","182160"," Но бывшие орденцы сумели и"
"182160","182860"," меня удивить. "
"183600","185520"," Короткий приказ мысля-речью, и"
"185520","187060"," теперь крайними в толпе стояли"
"187060","189580"," пятнадцать человек, со спокойными лицами,"
"189920","192200"," в одинаковых серых халатах, замерзшие"
"192200","194160"," в одинаковых позах, они больше"
"194160","196220"," походили на статуи или голимов."
"196220","198820"," Еще пять вдохов, и перед"
"198820","200660"," каждым из них засветилось обращение,"
"201120","202640"," а затем круг, где я"
"202640","205140"," собирался немного подраться, накрыло голубоватым"
"205140","206540"," куполом защитной техники."
"207200","209520"," «Составная земная техника на пятнадцать"
"209520","210520"," частей». "
"210520","212180"," Еще одно свидетельство об былой"
"212180","213040"," мощи ордена."
"213620","214940"," Не уверен, что я сумею"
"214940","217500"," проломить подобную защиту, но очень"
"217500","219900"," хотелось попробовать обновленный звездный клинок"
"219900","222060"," и, напомнившись, оборвал мечты."
"222640","223940"," Не здесь и не сейчас. "
"223940","226280"," Здесь и сейчас есть лишь"
"226280","229160"," Ирал, неплохой лекарь и отличный"
"229160","229600"," боец."
"230260","231480"," У меня еще будет немало"
"231480","233320"," тренировок со своей стражей и"
"233320","235540"," своими искателями, там, где не"
"235540","237260"," будет ни единого чужого взгляда."
"237840","239560"," Между тем, трое моих искателей"
"239560","241100"," не собирались давать мне ни"
"241100","241860"," волоса слабины. "
"242460","245220"," Окружили, заключив в треугольник, достали"
"245220","247520"," оружие, переглянулись, и один из"
"247520","248800"," них толкнул ко мне мысль."
"249200","251340"," «Глава?» Сбившись, повторил уже"
"251340","251740"," голосом."
"251740","254640"," «Глава, для нас честь первыми"
"254640","255459"," сразиться с вами. "
"256040","257140"," Мы начнем на счет три."
"257680","258019"," Раз."
"258519","258839"," Два. "
"259740","260459"," Три»."
"260459","261580"," Они были хороши."
"262020","262820"," Очень хороши. "
"263320","265000"," Жар опасности возник вокруг только"
"265000","266280"," после конца отсчета."
"266800","269460"," Ударили они слаженно, четко, поддерживая"
"269460","271140"," сталь техниками и…"
"271140","271760"," ну и только."
"272460","274480"," Я изогнулся, пропуская один зянь,"
"274760","276440"," позволяя второму скользнуть по ноге"
"276440","278380"," и отбивая самый опасный удар"
"278380","280920"," тяжелым дао, лезвие которого покрылось"
"280920","282900"," неприятной даже на взгляд чернотой,"
"283240","284700"," и принимая на покров десятки"
"284700","285580"," воздушных лезвий. "
"286140","286700"," Ну и только."
"287580","289420"," Спину не жалил опасностью смерти."
"290080","291340"," Если они и могли показать"
"291340","292800"," что-то по-настоящему опасное,"
"293220","294500"," то не желали переходить к"
"294500","294760"," этому. "
"295320","297100"," Наставки в нашей схватке повышали"
"297100","298240"," медленно и осторожно."
"299140","300800"," Спустя тридцать вдохов мы кружили"
"300800","302680"," уже в круговерте стихий, сути"
"302680","304540"," стихий и вспышек техник, и"
"304540","305940"," я решил, что этого достаточно."
"306780","308100"," Первым выбыл тот, что с"
"308100","309380"," дао, самый опасный. "
"310040","312000"," Шаг вперед, проломывая сквозь шквал"
"312000","313740"," песка, каменных шипов и стихии."
"314260","315640"," И он, получив укол звездным"
"315640","317780"," клинком, который удлинил лезвие копья"
"317780","319360"," на локоть, склоняет голову."
"320120","321460"," Вторым выбыл тот, что решил"
"321460","323360"," красиво, в лоб, сравнить силу"
"323360","324080"," сути стихии. "
"324640","326200"," Его птиц мои змеи буквально"
"326200","328340"," разорвали и заставили отступить."
"328980","330460"," С третьим мы закружили танец"
"330460","332820"," стали, техники усиления и ускорения,"
"333300","334800"," а еще всякой гадости, что"
"334800","335640"," лезла из-под ног."
"336220","337600"," Но и он, получив царапину"
"337600","338980"," на щеке, делает шаг назад. "
"339780","341320"," Все трое убирают оружие и,"
"341360","343500"," поклонившись, вбивают кулак в ладонь."
"344120","345600"," Я возвращаю им приветствие."
"346220","347100"," Это было хорошо. "
"348020","349800"," Мы сражались не насмерть, не"
